"","P15","P12","P1","P7","P2","P21","P13","P28","P24","P4","P22","P16","P25","P34","P5","P9","P29","P3","P8","P23","P10","P14","P18","P27","P6","","P30","P33","P26","P19","P35","P11","P17","P20","P39","P40","P41","P31","P32","P36","P37","P38","P42","P43","P44"
"P22",1.02483660130719,1.11524986170017,0.892911010558069,1.01647058823529,1.26241634378302,0.212523719165085,1.06425339366516,1.47183979974969,0.317505315379164,1.05411764705882,NA,0.886877828054299,0.560700876095119,0.675716440422323,1.50588235294118,0.775086505190312,0.212523719165085,1.75686274509804,1.31764705882353,0.253393665158371,0,1.43222506393862,0,1.31764705882353,1.09803921568627,0.658823529411765,0.823529411764706,0,0,1.64705882352941,0,0,0,0,0,3.29411764705882,0,0,6.58823529411765,0,0,0,0,0,0
"P16",0.233998100664767,0.999276585483482,0.915187376725838,1.23076923076923,1.03178258866882,1.00049627791563,1.0603550295858,0.549918166939444,1.03799814643188,1.37846153846154,0.886877828054299,NA,2.01636661211129,1.10453648915187,1.23076923076923,0.253393665158371,1.66749379652605,2.01025641025641,1.14871794871795,1.32544378698225,0.717948717948718,1.49832775919732,1.29230769230769,2.58461538461538,0.717948717948718,1.72307692307692,1.07692307692308,2.15384615384615,0,0,2.87179487179487,0,0,0,4.30769230769231,0,0,0,0,0,0,0,0,0,0
"P25",1.0120304701865,0.986060161408657,1.18712493180578,1.25276595744681,0.91323735507708,0.491969800960879,1.31980360065466,1.21684019918515,0.574211740579339,1.14382978723404,0.560700876095119,2.01636661211129,NA,0.733224222585925,1.08936170212766,0.841051314142678,1.2299245024022,1.2709219858156,2.22411347517731,0,0,2.48658649398705,0,1.9063829787234,2.38297872340426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P34",1.07780943336499,1.00827907724459,1.09401709401709,1.50974358974359,0.894211576846307,0.518775847808106,1.4138067061144,1.46644844517185,0.553599011430337,0.45948717948718,0.675716440422323,1.10453648915187,0.733224222585925,NA,0.328205128205128,1.01357466063348,1.85277088502895,1.53162393162393,1.53162393162393,0,0,2.99665551839465,0,0,0.957264957264957,1.14871794871795,0,0,0,0,0,0,0,0,0,5.74358974358974,0,0,0,0,0,0,11.4871794871795,11.4871794871795,0
"P5",0.979753086419753,0.963009404388715,1.03150183150183,0.219428571428571,0.84311377245509,0.660645161290323,0.886153846153846,0.408510638297872,1.38795180722892,0,1.50588235294118,1.23076923076923,1.08936170212766,0.328205128205128,NA,0,0.412903225806452,2.13333333333333,0,1.47692307692308,1.6,1.6695652173913,2.56,0,0,2.56,1.6,0,0,3.2,0,0,0,0,0,0,0,0,0,0,12.8,0,0,0,0
"P9",1.04110384894699,1.07394431126683,1.15837104072398,0.376470588235294,0.867911236350828,1.27514231499051,1.21628959276018,0.560700876095119,1.90503189227498,0.175686274509804,0.775086505190312,0.253393665158371,0.841051314142678,1.01357466063348,0,NA,0.850094876660341,0.43921568627451,0,1.01357466063348,1.09803921568627,0.572890025575448,0.658823529411765,0.658823529411765,0,0,1.64705882352941,1.64705882352941,0,0,0,0,13.1764705882353,0,0,0,0,0,0,0,0,13.1764705882353,0,0,13.1764705882353
"P29",0.963440860215054,0.815451511780766,1.00578990901572,0.495483870967742,1.21151245895306,1.02559833506764,1.77866004962779,0.614962251201098,1.74115818111154,0.578064516129032,0.212523719165085,1.66749379652605,1.2299245024022,1.85277088502895,0.412903225806452,0.850094876660341,NA,1.92688172043011,0.481720430107527,2.22332506203474,1.20430107526882,1.25666199158485,0.72258064516129,0.72258064516129,0,2.89032258064516,7.2258064516129,1.80645161290323,0,0,0,0,0,7.2258064516129,7.2258064516129,0,0,0,0,0,0,0,14.4516129032258,14.4516129032258,0
"P3",0.921810699588478,0.936259143155695,0.273504273504274,0.768,0.268263473053892,1.05978494623656,1.14871794871795,1.42978723404255,0.539759036144578,0.796444444444444,1.75686274509804,2.01025641025641,1.2709219858156,1.53162393162393,2.13333333333333,0.43921568627451,1.92688172043011,NA,1.49333333333333,1.14871794871795,0,1.29855072463768,0,0.746666666666667,1.24444444444444,0,1.86666666666667,1.86666666666667,0,3.73333333333333,0,0,0,7.46666666666667,7.46666666666667,7.46666666666667,0,0,0,0,0,0,0,0,0
"P8",1.06930041152263,1.2171368861024,0.92991452991453,0.512,1.43073852295409,1.05978494623656,0.804102564102564,0.635460992907801,1.25943775100402,0.199111111111111,1.31764705882353,1.14871794871795,2.22411347517731,1.53162393162393,0,0,0.481720430107527,1.49333333333333,NA,0.574358974358974,0.622222222222222,1.29855072463768,0.746666666666667,0.746666666666667,0,0,0,0,0,3.73333333333333,0,0,0,0,0,0,14.9333333333333,0,0,14.9333333333333,0,0,0,0,0
"P23",0.935992402659069,0.756209307933446,0.883629191321499,0.689230769230769,1.44449562413634,0.555831265508685,1.5905325443787,1.28314238952537,0,2.06769230769231,0.253393665158371,1.32544378698225,0,0,1.47692307692308,1.01357466063348,2.22332506203474,1.14871794871795,0.574358974358974,NA,1.43589743589744,2.24749163879599,0,0.861538461538461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P10",1.01399176954733,1.17032392894462,1.02564102564103,1.28,1.34131736526946,0.240860215053763,1.14871794871795,0.99290780141844,0.224899598393574,0.995555555555556,0,0.717948717948718,0,0,1.6,1.09803921568627,1.20430107526882,0,0.622222222222222,1.43589743589744,NA,0,0,0,1.55555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P14",1.0580783682233,0.36636227340875,1.07023411371237,1.78086956521739,0.933090341057016,0.879663394109397,0.449498327759197,0.621646623496762,1.40806705081194,1.55826086956522,1.43222506393862,1.49832775919732,2.48658649398705,2.99665551839465,1.6695652173913,0.572890025575448,1.25666199158485,1.29855072463768,1.29855072463768,2.24749163879599,0,NA,0,0,0,0,2.43478260869565,0,0,4.8695652173913,0,0,0,0,0,0,0,0,19.4782608695652,0,0,0,0,0,0
"P18",0.940246913580247,0.912852664576802,1.23076923076923,1.024,0.67065868263473,0,1.03384615384615,0.714893617021277,0.269879518072289,0.597333333333333,0,1.29230769230769,0,0,2.56,0.658823529411765,0.72258064516129,0,0.746666666666667,0,0,0,NA,1.12,0,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P27",0.884938271604938,0.98307210031348,1.06666666666667,0.384,1.07305389221557,1.58967741935484,1.37846153846154,0.238297872340426,0.809638554216867,0.298666666666667,1.31764705882353,2.58461538461538,1.9063829787234,0,0,0.658823529411765,0.72258064516129,0.746666666666667,0.746666666666667,0.861538461538461,0,0,1.12,NA,0,2.24,0,2.8,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0
"P6",1.10617283950617,1.05329153605016,0.683760683760684,0.213333333333333,1.34131736526946,1.20430107526882,1.14871794871795,0.397163120567376,0.449799196787149,0,1.09803921568627,0.717948717948718,2.38297872340426,0.957264957264957,0,0,0,1.24444444444444,0,0,1.55555555555556,0,0,0,NA,0,0,0,0,0,0,18.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
"",0.884938271604938,0.140438871473354,0.82051282051282,0.512,1.34131736526946,0.867096774193548,0,0.953191489361702,0,1.19466666666667,0.658823529411765,1.72307692307692,0,1.14871794871795,2.56,0,2.89032258064516,0,0,0,0,0,4.48,2.24,0,NA,5.6,0,6.4,0,14.9333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
